Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-01-29T15:03:58-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 6 SPX 12/17/21 Call 4900.00 @ 11.61,"6,966.00",6,"1,161.00",-6.00,-4.722,100,SPX,12/17/21,4900.0,CALL,127275256
2021-01-29T15:03:58-0500,Trade,BUY_TO_CLOSE,SPX   211217C03900000,Equity Option,Bought 2 SPX 12/17/21 Call 3900.00 @ 219.83,"-43,966.00",2,"-21,983.00",0.00,-1.57,100,SPX,12/17/21,3900.0,CALL,127275256
2021-01-27T12:37:32-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 2 SPX 12/17/21 Call 4900.00 @ 11.90,"2,380.00",2,"1,190.00",-2.00,-1.574,100,SPX,12/17/21,4900.0,CALL,126372476
2021-01-27T12:35:18-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 6 SPX 12/17/21 Call 4300.00 @ 81.43,"48,858.00",6,"8,143.00",0.00,-4.722,100,SPX,12/17/21,4300.0,CALL,126371218
2021-01-27T12:35:18-0500,Trade,BUY_TO_CLOSE,SPX   211217C03900000,Equity Option,Bought 3 SPX 12/17/21 Call 3900.00 @ 245.36,"-73,608.00",3,"-24,536.00",0.00,-2.36,100,SPX,12/17/21,3900.0,CALL,126371218
2021-01-27T12:12:53-0500,Trade,BUY_TO_CLOSE,SPX   211217C04000000,Equity Option,Bought 2 SPX 12/17/21 Call 4000.00 @ 191.82,"-38,364.00",2,"-19,182.00",0.00,-1.57,100,SPX,12/17/21,4000.0,CALL,126353951
2021-01-27T12:12:53-0500,Trade,SELL_TO_CLOSE,SPX   211217C04400000,Equity Option,Sold 5 SPX 12/17/21 Call 4400.00 @ 57.99,"28,995.00",5,"5,799.00",0.00,-3.94,100,SPX,12/17/21,4400.0,CALL,126353951
2021-01-27T12:12:53-0500,Trade,BUY_TO_CLOSE,SPX   211217C04000000,Equity Option,Bought 1 SPX 12/17/21 Call 4000.00 @ 191.81,"-19,181.00",1,"-19,181.00",0.00,-0.79,100,SPX,12/17/21,4000.0,CALL,126353951
2021-01-20T15:12:24-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 6 SPX 12/17/21 Call 4900.00 @ 10.94,"-6,564.00",6,"-1,094.00",0.00,-4.71,100,SPX,12/17/21,4900.0,CALL,124756936
2021-01-20T15:12:24-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 3 SPX 12/17/21 Call 4300.00 @ 79.28,"23,784.00",3,"7,928.00",0.00,-2.366,100,SPX,12/17/21,4300.0,CALL,124756936
2021-01-12T15:56:15-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 14 SPX 12/16/22 Call 6000.00 @ 10.70,"-14,980.00",14,"-1,070.00",0.00,-11.00,100,SPX,12/16/22,6000.0,CALL,123259989
2021-01-12T15:55:36-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 1 SPX 12/16/22 Call 6000.00 @ 10.50,"-1,050.00",1,"-1,050.00",0.00,-0.79,100,SPX,12/16/22,6000.0,CALL,123259333
2021-01-12T15:55:12-0500,Trade,SELL_TO_CLOSE,SPX   221216C04400000,Equity Option,Sold 20 SPX 12/16/22 Call 4400.00 @ 146.19,"292,380.00",20,"14,619.00",0.00,-15.75,100,SPX,12/16/22,4400.0,CALL,123258957
2021-01-12T15:55:12-0500,Trade,BUY_TO_CLOSE,SPX   221216C04000000,Equity Option,Bought 20 SPX 12/16/22 Call 4000.00 @ 300.99,"-601,980.00",20,"-30,099.00",0.00,-15.71,100,SPX,12/16/22,4000.0,CALL,123258957
2021-01-12T15:54:06-0500,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 30 SPX 12/16/22 Call 6000.00 @ 10.22,"-30,660.00",30,"-1,022.00",0.00,-23.57,100,SPX,12/16/22,6000.0,CALL,123256987
2021-01-12T15:54:06-0500,Trade,SELL_TO_CLOSE,SPX   221216C04400000,Equity Option,Sold 10 SPX 12/16/22 Call 4400.00 @ 143.66,"143,660.00",10,"14,366.00",0.00,-7.88,100,SPX,12/16/22,4400.0,CALL,123256987
