Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-04-29T21:18:24.067CEST,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 6 SPX 12/16/22 Call 6000.00 @ 10.67,"-6,402.00",6,"-1,067.00",0.00,-4.71,100,SPX,12/16/22,6000.0,CALL,146571759
2021-04-29T21:18:24.067CEST,Trade,SELL_TO_CLOSE,SPX   221216C04700000,Equity Option,Sold 3 SPX 12/16/22 Call 4700.00 @ 151.34,"45,402.00",3,"15,134.00",0.00,-2.356,100,SPX,12/16/22,4700.0,CALL,146571759
2021-04-16T21:48:35.055CEST,Trade,BUY_TO_CLOSE,SPX   211217C03900000,Equity Option,Bought 5 SPX 12/17/21 Call 3900.00 @ 419.68,"-209,840.00",5,"-41,968.00",0.00,-3.92,100,SPX,12/17/21,3900.0,CALL,144153843
2021-04-16T21:48:35.052CEST,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 21 SPX 12/17/21 Call 4300.00 @ 161.02,"338,142.00",21,"16,102.00",0.00,-16.522,100,SPX,12/17/21,4300.0,CALL,144153843
2021-04-16T21:48:35.052CEST,Trade,BUY_TO_CLOSE,SPX   211217C03900000,Equity Option,Bought 6 SPX 12/17/21 Call 3900.00 @ 419.67,"-251,802.00",6,"-41,967.00",0.00,-4.71,100,SPX,12/17/21,3900.0,CALL,144153843
2021-04-16T21:48:00.449CEST,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 2 SPX 12/17/21 Call 4300.00 @ 160.89,"32,178.00",2,"16,089.00",0.00,-1.574,100,SPX,12/17/21,4300.0,CALL,144153284
2021-04-16T21:48:00.449CEST,Trade,BUY_TO_CLOSE,SPX   211217C04100000,Equity Option,Bought 2 SPX 12/17/21 Call 4100.00 @ 276.99,"-55,398.00",2,"-27,699.00",0.00,-1.57,100,SPX,12/17/21,4100.0,CALL,144153284
2021-04-16T21:48:00.449CEST,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 2 SPX 12/17/21 Call 4300.00 @ 160.89,"32,178.00",2,"16,089.00",0.00,-1.574,100,SPX,12/17/21,4300.0,CALL,144153284
2021-04-16T21:48:00.449CEST,Trade,BUY_TO_CLOSE,SPX   211217C04100000,Equity Option,Bought 2 SPX 12/17/21 Call 4100.00 @ 276.99,"-55,398.00",2,"-27,699.00",0.00,-1.57,100,SPX,12/17/21,4100.0,CALL,144153284
2021-04-16T21:47:13.256CEST,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 17 SPX 12/17/21 Call 4900.00 @ 17.70,"-30,090.00",17,"-1,770.00",0.00,-13.34,100,SPX,12/17/21,4900.0,CALL,144152373
2021-04-16T21:46:03.010CEST,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 18 SPX 12/17/21 Call 4900.00 @ 17.70,"-31,860.00",18,"-1,770.00",0.00,-14.12,100,SPX,12/17/21,4900.0,CALL,144150858
2021-04-16T21:46:03.010CEST,Trade,SELL_TO_CLOSE,SPX   211217C04400000,Equity Option,Sold 6 SPX 12/17/21 Call 4400.00 @ 117.00,"70,200.00",6,"11,700.00",0.00,-4.722,100,SPX,12/17/21,4400.0,CALL,144150858
2021-04-16T21:34:39.188CEST,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 2 SPX 12/17/21 Call 4900.00 @ 17.66,"-3,532.00",2,"-1,766.00",0.00,-1.57,100,SPX,12/17/21,4900.0,CALL,144141372
2021-04-16T21:34:39.186CEST,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 1 SPX 12/17/21 Call 4300.00 @ 161.52,"16,152.00",1,"16,152.00",0.00,-0.782,100,SPX,12/17/21,4300.0,CALL,144141372
2021-04-16T18:40:27.131CEST,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 4 SPX 12/16/22 Call 6000.00 @ 12.13,"-4,852.00",4,"-1,213.00",0.00,-3.14,100,SPX,12/16/22,6000.0,CALL,143966979
2021-04-16T18:40:27.128CEST,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 2 SPX 12/16/22 Call 6000.00 @ 12.14,"-2,428.00",2,"-1,214.00",0.00,-1.57,100,SPX,12/16/22,6000.0,CALL,143966979
2021-04-16T18:40:27.128CEST,Trade,SELL_TO_CLOSE,SPX   221216C04700000,Equity Option,Sold 2 SPX 12/16/22 Call 4700.00 @ 148.40,"29,680.00",2,"14,840.00",0.00,-1.574,100,SPX,12/16/22,4700.0,CALL,143966979
2021-04-15T17:45:49.965CEST,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 1 SPX 12/17/21 Call 4300.00 @ 148.90,"14,890.00",1,"14,890.00",0.00,-0.782,100,SPX,12/17/21,4300.0,CALL,143749532
2021-04-15T17:45:49.965CEST,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 1 SPX 12/17/21 Call 4900.00 @ 16.40,"-1,640.00",1,"-1,640.00",0.00,-0.78,100,SPX,12/17/21,4900.0,CALL,143749532
2021-04-15T17:33:06.484CEST,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 6 SPX 12/16/22 Call 6000.00 @ 12.34,"-7,404.00",6,"-1,234.00",0.00,-4.71,100,SPX,12/16/22,6000.0,CALL,143742496
2021-04-15T17:33:06.484CEST,Trade,SELL_TO_CLOSE,SPX   221216C04700000,Equity Option,Sold 2 SPX 12/16/22 Call 4700.00 @ 141.52,"28,304.00",2,"14,152.00",0.00,-1.574,100,SPX,12/16/22,4700.0,CALL,143742496
2021-04-09T21:22:06.540CEST,Trade,SELL_TO_CLOSE,SPX   221216C04700000,Equity Option,Sold 1 SPX 12/16/22 Call 4700.00 @ 125.26,"12,526.00",1,"12,526.00",0.00,-0.782,100,SPX,12/16/22,4700.0,CALL,142723933
