Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-04-29T21:17:23.997CEST,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 6 SPX 12/16/22 Call 6000.00 @ 10.67,"-6,402.00",6,"-1,067.00",0.00,-4.71,100,SPX,12/16/22,6000.0,CALL,146571217
2021-04-29T21:17:23.994CEST,Trade,SELL_TO_CLOSE,SPX   221216C04700000,Equity Option,Sold 3 SPX 12/16/22 Call 4700.00 @ 151.34,"45,402.00",3,"15,134.00",0.00,-2.356,100,SPX,12/16/22,4700.0,CALL,146571217
2021-04-16T21:41:45.673CEST,Trade,SELL_TO_CLOSE,SPX   211217C04400000,Equity Option,Sold 6 SPX 12/17/21 Call 4400.00 @ 117.51,"70,506.00",6,"11,751.00",0.00,-4.722,100,SPX,12/17/21,4400.0,CALL,144146774
2021-04-16T21:41:45.673CEST,Trade,BUY_TO_CLOSE,SPX   211217C04100000,Equity Option,Bought 3 SPX 12/17/21 Call 4100.00 @ 279.02,"-83,706.00",3,"-27,902.00",0.00,-2.35,100,SPX,12/17/21,4100.0,CALL,144146774
2021-04-16T21:39:25.503CEST,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 14 SPX 12/17/21 Call 4300.00 @ 162.45,"227,430.00",14,"16,245.00",0.00,-11.018,100,SPX,12/17/21,4300.0,CALL,144144941
2021-04-16T21:39:25.503CEST,Trade,BUY_TO_CLOSE,SPX   211217C03900000,Equity Option,Bought 3 SPX 12/17/21 Call 3900.00 @ 422.29,"-126,687.00",3,"-42,229.00",0.00,-2.35,100,SPX,12/17/21,3900.0,CALL,144144941
2021-04-16T21:39:25.503CEST,Trade,BUY_TO_CLOSE,SPX   211217C03900000,Equity Option,Bought 6 SPX 12/17/21 Call 3900.00 @ 422.28,"-253,368.00",6,"-42,228.00",0.00,-4.71,100,SPX,12/17/21,3900.0,CALL,144144941
2021-04-16T18:40:27.130CEST,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 4 SPX 12/16/22 Call 6000.00 @ 12.13,"-4,852.00",4,"-1,213.00",0.00,-3.14,100,SPX,12/16/22,6000.0,CALL,143966012
2021-04-16T18:40:27.128CEST,Trade,BUY_TO_CLOSE,SPX   221216C06000000,Equity Option,Bought 2 SPX 12/16/22 Call 6000.00 @ 12.14,"-2,428.00",2,"-1,214.00",0.00,-1.57,100,SPX,12/16/22,6000.0,CALL,143966012
2021-04-16T18:40:27.128CEST,Trade,SELL_TO_CLOSE,SPX   221216C04700000,Equity Option,Sold 2 SPX 12/16/22 Call 4700.00 @ 148.40,"29,680.00",2,"14,840.00",0.00,-1.574,100,SPX,12/16/22,4700.0,CALL,143966012
