Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2020-12-28T15:20:55-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 50 SPX 12/17/21 Call 4000.00 @ 138.61,"693,050.00",50,"13,861.00",0.00,-39.39,100,SPX,12/17/21,4000.0,CALL,120512334
2020-12-28T15:20:55-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 50 SPX 12/17/21 Call 4900.00 @ 9.00,"-45,000.00",50,-900.00,0.00,-39.29,100,SPX,12/17/21,4900.0,CALL,120512334
2020-12-28T15:20:55-0500,Trade,BUY_TO_CLOSE,SPX   211217C03700000,Equity Option,Bought 30 SPX 12/17/21 Call 3700.00 @ 300.35,"-901,050.00",30,"-30,035.00",0.00,-23.57,100,SPX,12/17/21,3700.0,CALL,120512334
2020-12-28T15:17:05-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 10 SPX 12/17/21 Call 4900.00 @ 9.00,"-9,000.00",10,-900.00,0.00,-7.86,100,SPX,12/17/21,4900.0,CALL,120510538
2020-12-28T15:07:59-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 1 SPX 12/17/21 Call 4900.00 @ 9.00,-900.00,1,-900.00,0.00,-0.79,100,SPX,12/17/21,4900.0,CALL,120505723
2020-12-28T15:05:05-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 3 SPX 12/17/21 Call 4000.00 @ 139.48,"41,844.00",3,"13,948.00",0.00,-2.366,100,SPX,12/17/21,4000.0,CALL,120505320
2020-12-28T15:05:05-0500,Trade,BUY_TO_CLOSE,SPX   211217C03700000,Equity Option,Bought 1 SPX 12/17/21 Call 3700.00 @ 301.94,"-30,194.00",1,"-30,194.00",0.00,-0.79,100,SPX,12/17/21,3700.0,CALL,120505320
2020-12-28T14:49:04-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 5 SPX 12/17/21 Call 4900.00 @ 9.00,"-4,500.00",5,-900.00,0.00,-3.93,100,SPX,12/17/21,4900.0,CALL,120499247
2020-12-28T14:49:04-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 5 SPX 12/17/21 Call 4900.00 @ 9.00,"-4,500.00",5,-900.00,0.00,-3.93,100,SPX,12/17/21,4900.0,CALL,120499247
2020-12-28T14:13:46-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 10 SPX 12/17/21 Call 4900.00 @ 8.60,"-8,600.00",10,-860.00,0.00,-7.86,100,SPX,12/17/21,4900.0,CALL,120371167
2020-12-28T14:13:46-0500,Trade,BUY_TO_CLOSE,SPX   211217C03700000,Equity Option,Bought 4 SPX 12/17/21 Call 3700.00 @ 300.40,"-120,160.00",4,"-30,040.00",0.00,-3.14,100,SPX,12/17/21,3700.0,CALL,120371167
2020-12-28T14:13:46-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 10 SPX 12/17/21 Call 4000.00 @ 138.36,"138,360.00",10,"13,836.00",0.00,-7.88,100,SPX,12/17/21,4000.0,CALL,120371167
2020-12-16T12:00:24-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 5 SPX 12/17/21 Call 4900.00 @ 10.00,"-5,000.00",5,"-1,000.00",0.00,-3.93,100,SPX,12/17/21,4900.0,CALL,118614068
2020-12-16T11:50:41-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 30 SPX 12/17/21 Call 4900.00 @ 10.10,"-30,300.00",30,"-1,010.00",0.00,-23.57,100,SPX,12/17/21,4900.0,CALL,118609411
2020-12-16T11:46:48-0500,Trade,SELL_TO_CLOSE,SPX   211217C04000000,Equity Option,Sold 3 SPX 12/17/21 Call 4000.00 @ 133.30,"39,990.00",3,"13,330.00",0.00,-2.366,100,SPX,12/17/21,4000.0,CALL,118607539
