Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-03-30T12:04:13-0400,Trade,SELL_TO_OPEN,SPX   221216C06000000,Equity Option,Sold 41 SPX 12/16/22 Call 6000.00 @ 8.30,"34,030.00",41,830.00,-41.00,-32.292,100,SPX,12/16/22,6000.0,CALL,140704258
2021-03-30T12:03:55-0400,Trade,SELL_TO_OPEN,SPX   221216C06000000,Equity Option,Sold 24 SPX 12/16/22 Call 6000.00 @ 8.30,"19,920.00",24,830.00,-24.00,-18.908,100,SPX,12/16/22,6000.0,CALL,140704114
2021-03-30T12:03:55-0400,Trade,BUY_TO_OPEN,SPX   221216C04700000,Equity Option,Bought 8 SPX 12/16/22 Call 4700.00 @ 90.05,"-72,040.00",8,"-9,005.00",-8.00,-6.29,100,SPX,12/16/22,4700.0,CALL,140704114
2021-03-30T12:02:22-0400,Trade,BUY_TO_OPEN,SPX   221216C04700000,Equity Option,Bought 22 SPX 12/16/22 Call 4700.00 @ 89.06,"-195,932.00",22,"-8,906.00",-22.00,-17.29,100,SPX,12/16/22,4700.0,CALL,140703414
2021-03-30T12:02:22-0400,Trade,SELL_TO_OPEN,SPX   221216C04200000,Equity Option,Sold 11 SPX 12/16/22 Call 4200.00 @ 245.62,"270,182.00",11,"24,562.00",-11.00,-8.662,100,SPX,12/16/22,4200.0,CALL,140703414
2021-03-11T10:11:53-0500,Trade,BUY_TO_OPEN,SPX   211217C04400000,Equity Option,Bought 3 SPX 12/17/21 Call 4400.00 @ 72.71,"-21,813.00",3,"-7,271.00",-3.00,-2.36,100,SPX,12/17/21,4400.0,CALL,136777949
2021-03-11T10:11:53-0500,Trade,SELL_TO_OPEN,SPX   211217C04100000,Equity Option,Sold 2 SPX 12/17/21 Call 4100.00 @ 178.86,"35,772.00",2,"17,886.00",-2.00,-1.574,100,SPX,12/17/21,4100.0,CALL,136777949
2021-03-11T10:11:53-0500,Trade,BUY_TO_OPEN,SPX   211217C04400000,Equity Option,Bought 3 SPX 12/17/21 Call 4400.00 @ 72.71,"-21,813.00",3,"-7,271.00",-3.00,-2.36,100,SPX,12/17/21,4400.0,CALL,136777949
2021-03-11T10:11:53-0500,Trade,SELL_TO_OPEN,SPX   211217C04100000,Equity Option,Sold 2 SPX 12/17/21 Call 4100.00 @ 178.87,"35,774.00",2,"17,887.00",-2.00,-1.574,100,SPX,12/17/21,4100.0,CALL,136777949
2021-03-05T15:45:32-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 2 SPX 12/17/21 Call 4900.00 @ 10.70,"2,140.00",2,"1,070.00",-2.00,-1.574,100,SPX,12/17/21,4900.0,CALL,135789599
2021-03-05T15:43:19-0500,Trade,SELL_TO_OPEN,SPX   211217C03900000,Equity Option,Sold 1 SPX 12/17/21 Call 3900.00 @ 241.09,"24,109.00",1,"24,109.00",-1.00,-0.792,100,SPX,12/17/21,3900.0,CALL,135786042
2021-03-05T15:43:19-0500,Trade,BUY_TO_OPEN,SPX   211217C04300000,Equity Option,Bought 3 SPX 12/17/21 Call 4300.00 @ 75.73,"-22,719.00",3,"-7,573.00",-3.00,-2.36,100,SPX,12/17/21,4300.0,CALL,135786042
2021-03-05T15:43:19-0500,Trade,SELL_TO_OPEN,SPX   211217C03900000,Equity Option,Sold 1 SPX 12/17/21 Call 3900.00 @ 241.10,"24,110.00",1,"24,110.00",-1.00,-0.792,100,SPX,12/17/21,3900.0,CALL,135786042
2021-03-05T09:35:09-0500,Trade,SELL_TO_OPEN,SPX   221216C04200000,Equity Option,Sold 1 SPX 12/16/22 Call 4200.00 @ 217.00,"21,700.00",1,"21,700.00",-1.00,-0.792,100,SPX,12/16/22,4200.0,CALL,135469776
2021-03-04T16:07:04-0500,Trade,BUY_TO_CLOSE,SPX   221216C04200000,Equity Option,Bought 1 SPX 12/16/22 Call 4200.00 @ 209.00,"-20,900.00",1,"-20,900.00",0.00,-0.79,100,SPX,12/16/22,4200.0,CALL,135425063
2021-03-04T15:53:20-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 3 SPX 12/17/21 Call 4900.00 @ 9.52,"2,856.00",3,952.00,-3.00,-2.366,100,SPX,12/17/21,4900.0,CALL,135415361
2021-03-04T15:53:20-0500,Trade,BUY_TO_CLOSE,SPX   211217C03900000,Equity Option,Bought 1 SPX 12/17/21 Call 3900.00 @ 214.56,"-21,456.00",1,"-21,456.00",0.00,-0.79,100,SPX,12/17/21,3900.0,CALL,135415361
2021-03-03T14:55:51-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 3 SPX 12/17/21 Call 4900.00 @ 11.30,"3,390.00",3,"1,130.00",-3.00,-2.366,100,SPX,12/17/21,4900.0,CALL,135010723
2021-03-03T14:55:19-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 9 SPX 12/17/21 Call 4900.00 @ 11.49,"10,341.00",9,"1,149.00",-9.00,-7.088,100,SPX,12/17/21,4900.0,CALL,135009325
2021-03-03T14:55:19-0500,Trade,BUY_TO_OPEN,SPX   211217C04300000,Equity Option,Bought 3 SPX 12/17/21 Call 4300.00 @ 79.47,"-23,841.00",3,"-7,947.00",-3.00,-2.36,100,SPX,12/17/21,4300.0,CALL,135009325
2021-03-03T14:35:34-0500,Trade,SELL_TO_OPEN,SPX   221216C06000000,Equity Option,Sold 3 SPX 12/16/22 Call 6000.00 @ 10.50,"3,150.00",3,"1,050.00",-3.00,-2.366,100,SPX,12/16/22,6000.0,CALL,134998025
2021-03-03T14:35:34-0500,Trade,SELL_TO_OPEN,SPX   221216C06000000,Equity Option,Sold 4 SPX 12/16/22 Call 6000.00 @ 10.50,"4,200.00",4,"1,050.00",-4.00,-3.148,100,SPX,12/16/22,6000.0,CALL,134998025
2021-03-03T14:34:04-0500,Trade,BUY_TO_CLOSE,SPX   221216C04200000,Equity Option,Bought 1 SPX 12/16/22 Call 4200.00 @ 232.00,"-23,200.00",1,"-23,200.00",0.00,-0.79,100,SPX,12/16/22,4200.0,CALL,134996864
