Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-03-30T15:50:00-0400,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 5 SPX 12/17/21 Call 4900.00 @ 7.10,"-3,550.00",5,-710.00,0.00,-3.93,100,SPX,12/17/21,4900.0,CALL,140794601
2021-03-30T15:47:32-0400,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 1 SPX 12/17/21 Call 4300.00 @ 73.50,"7,350.00",1,"7,350.00",0.00,-0.792,100,SPX,12/17/21,4300.0,CALL,140793927
2021-03-30T15:43:44-0400,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 10 SPX 12/17/21 Call 4900.00 @ 7.20,"-7,200.00",10,-720.00,0.00,-7.86,100,SPX,12/17/21,4900.0,CALL,140783173
2021-03-30T11:31:58-0400,Trade,SELL_TO_OPEN,SPX   221216C06000000,Equity Option,Sold 24 SPX 12/16/22 Call 6000.00 @ 8.68,"20,832.00",24,868.00,-24.00,-18.908,100,SPX,12/16/22,6000.0,CALL,140686604
2021-03-30T11:31:58-0400,Trade,BUY_TO_OPEN,SPX   221216C04700000,Equity Option,Bought 8 SPX 12/16/22 Call 4700.00 @ 91.94,"-73,552.00",8,"-9,194.00",-8.00,-6.29,100,SPX,12/16/22,4700.0,CALL,140686604
2021-03-30T11:30:50-0400,Trade,SELL_TO_OPEN,SPX   221216C06000000,Equity Option,Sold 41 SPX 12/16/22 Call 6000.00 @ 8.30,"34,030.00",41,830.00,-41.00,-32.292,100,SPX,12/16/22,6000.0,CALL,140686084
2021-03-30T11:19:12-0400,Trade,BUY_TO_OPEN,SPX   221216C04700000,Equity Option,Bought 22 SPX 12/16/22 Call 4700.00 @ 90.65,"-199,430.00",22,"-9,065.00",-22.00,-17.29,100,SPX,12/16/22,4700.0,CALL,140679640
2021-03-30T11:19:12-0400,Trade,SELL_TO_OPEN,SPX   221216C04200000,Equity Option,Sold 11 SPX 12/16/22 Call 4200.00 @ 249.30,"274,230.00",11,"24,930.00",-11.00,-8.662,100,SPX,12/16/22,4200.0,CALL,140679640
2021-03-11T15:20:28-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 4 SPX 12/17/21 Call 4900.00 @ 14.80,"-5,920.00",4,"-1,480.00",0.00,-3.14,100,SPX,12/17/21,4900.0,CALL,136973564
2021-03-11T15:17:15-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 18 SPX 12/17/21 Call 4900.00 @ 14.68,"-26,424.00",18,"-1,468.00",0.00,-14.14,100,SPX,12/17/21,4900.0,CALL,136971419
2021-03-11T15:17:15-0500,Trade,SELL_TO_CLOSE,SPX   211217C04300000,Equity Option,Sold 6 SPX 12/17/21 Call 4300.00 @ 102.04,"61,224.00",6,"10,204.00",0.00,-4.722,100,SPX,12/17/21,4300.0,CALL,136971419
2021-03-11T10:07:19-0500,Trade,SELL_TO_OPEN,SPX   211217C04100000,Equity Option,Sold 2 SPX 12/17/21 Call 4100.00 @ 178.48,"35,696.00",2,"17,848.00",-2.00,-1.574,100,SPX,12/17/21,4100.0,CALL,136773121
2021-03-11T10:07:19-0500,Trade,BUY_TO_OPEN,SPX   211217C04400000,Equity Option,Bought 6 SPX 12/17/21 Call 4400.00 @ 72.54,"-43,524.00",6,"-7,254.00",-6.00,-4.71,100,SPX,12/17/21,4400.0,CALL,136773121
2021-03-11T10:07:19-0500,Trade,SELL_TO_OPEN,SPX   211217C04100000,Equity Option,Sold 2 SPX 12/17/21 Call 4100.00 @ 178.49,"35,698.00",2,"17,849.00",-2.00,-1.574,100,SPX,12/17/21,4100.0,CALL,136773121
2021-03-10T11:29:29-0500,Trade,BUY_TO_CLOSE,SPX   221216C05600000,Equity Option,Bought 40 SPX 12/16/22 Call 5600.00 @ 20.73,"-82,920.00",40,"-2,073.00",0.00,-31.43,100,SPX,12/16/22,5600.0,CALL,136538534
2021-03-10T11:29:29-0500,Trade,SELL_TO_CLOSE,SPX   221216C04900000,Equity Option,Sold 15 SPX 12/16/22 Call 4900.00 @ 69.28,"103,920.00",15,"6,928.00",0.00,-11.82,100,SPX,12/16/22,4900.0,CALL,136538534
2021-03-05T15:51:18-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 1 SPX 12/17/21 Call 4900.00 @ 11.10,"1,110.00",1,"1,110.00",-1.00,-0.792,100,SPX,12/17/21,4900.0,CALL,135795118
2021-03-05T15:39:41-0500,Trade,SELL_TO_OPEN,SPX   211217C03900000,Equity Option,Sold 1 SPX 12/17/21 Call 3900.00 @ 242.88,"24,288.00",1,"24,288.00",-1.00,-0.792,100,SPX,12/17/21,3900.0,CALL,135783724
2021-03-05T15:39:41-0500,Trade,BUY_TO_OPEN,SPX   211217C04300000,Equity Option,Bought 3 SPX 12/17/21 Call 4300.00 @ 76.59,"-22,977.00",3,"-7,659.00",-3.00,-2.36,100,SPX,12/17/21,4300.0,CALL,135783724
2021-03-05T15:39:41-0500,Trade,SELL_TO_OPEN,SPX   211217C03900000,Equity Option,Sold 1 SPX 12/17/21 Call 3900.00 @ 242.89,"24,289.00",1,"24,289.00",-1.00,-0.792,100,SPX,12/17/21,3900.0,CALL,135783724
2021-03-05T11:50:20-0500,Trade,SELL_TO_OPEN,SPX   221216C05600000,Equity Option,Sold 40 SPX 12/16/22 Call 5600.00 @ 16.71,"66,840.00",40,"1,671.00",-40.00,-31.51,100,SPX,12/16/22,5600.0,CALL,135630591
2021-03-05T11:50:20-0500,Trade,BUY_TO_OPEN,SPX   221216C04900000,Equity Option,Bought 15 SPX 12/16/22 Call 4900.00 @ 53.56,"-80,340.00",15,"-5,356.00",-15.00,-11.79,100,SPX,12/16/22,4900.0,CALL,135630591
2021-03-04T15:57:43-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 3 SPX 12/17/21 Call 4900.00 @ 9.51,"2,853.00",3,951.00,-3.00,-2.366,100,SPX,12/17/21,4900.0,CALL,135421229
2021-03-04T15:57:43-0500,Trade,BUY_TO_CLOSE,SPX   211217C03900000,Equity Option,Bought 1 SPX 12/17/21 Call 3900.00 @ 212.23,"-21,223.00",1,"-21,223.00",0.00,-0.79,100,SPX,12/17/21,3900.0,CALL,135421229
2021-03-03T15:01:28-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 3 SPX 12/17/21 Call 4900.00 @ 11.40,"3,420.00",3,"1,140.00",-3.00,-2.366,100,SPX,12/17/21,4900.0,CALL,135013776
2021-03-03T15:01:06-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 9 SPX 12/17/21 Call 4900.00 @ 11.45,"10,305.00",9,"1,145.00",-9.00,-7.088,100,SPX,12/17/21,4900.0,CALL,135012698
2021-03-03T15:01:06-0500,Trade,BUY_TO_OPEN,SPX   211217C04300000,Equity Option,Bought 3 SPX 12/17/21 Call 4300.00 @ 79.35,"-23,805.00",3,"-7,935.00",-3.00,-2.36,100,SPX,12/17/21,4300.0,CALL,135012698
2021-03-03T14:31:17-0500,Trade,SELL_TO_OPEN,SPX   221216C06000000,Equity Option,Sold 7 SPX 12/16/22 Call 6000.00 @ 10.50,"7,350.00",7,"1,050.00",-7.00,-5.514,100,SPX,12/16/22,6000.0,CALL,134994625
2021-03-03T14:21:37-0500,Trade,BUY_TO_CLOSE,SPX   221216C04200000,Equity Option,Bought 1 SPX 12/16/22 Call 4200.00 @ 234.00,"-23,400.00",1,"-23,400.00",0.00,-0.79,100,SPX,12/16/22,4200.0,CALL,134988561
